사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2023-10,2호선,0235,문래,20,0,"4,277","2,279","13,840","10,542","42,758","34,472","49,203","120,494","28,401","59,365","21,438","25,958","21,748","23,335","25,703","25,016","25,824","27,184","25,460","25,085","28,680","27,020","34,927","32,197","57,694","41,050","101,725","58,355","39,016","41,329","27,213","23,438","28,794","20,620","21,713","17,814","10,719","10,617","1,367","3,186",5,114,0,0,0,0
2023-10,2호선,0236,영등포구청,36,4,"5,784","4,189","12,345","15,202","37,987","36,514","47,087","112,438","30,194","48,110","23,578","26,424","24,458","24,348","26,753","25,155","27,597","28,073","28,810","26,012","30,628","27,439","37,080","30,902","54,301","38,861","94,844","54,432","35,340","37,166","26,236","22,760","24,202","20,985","17,873","18,384","8,457","12,615","1,279","4,207",8,194,0,0,0,0
2023-10,2호선,0237,당산,31,5,"7,015","3,240","16,588","12,770","43,392","27,259","54,683","72,770","35,997","34,497","26,220","19,073","24,700","17,482","25,761","20,903","24,922","23,343","22,820","24,201","24,285","28,368","29,149","35,749","41,951","50,545","56,514","73,734","26,583","50,334","22,658","34,354","21,253","33,005","17,778","28,656","8,581","19,217","1,213","4,806",4,229,0,0,0,0
2023-10,2호선,0238,합정,106,13,"10,808","3,116","18,728","13,743","42,274","31,339","51,636","91,652","37,682","85,433","29,159","53,967","31,710","51,610","37,530","55,912","41,102","62,478","45,016","57,567","49,602","59,121","58,954","67,363","78,568","88,006","113,897","113,663","80,317","81,097","66,945","45,367","73,338","37,785","66,989","32,545","35,428","23,855","5,430","7,657",12,374,0,0,0,0
2023-10,2호선,0239,홍대입구,"1,246",18,"29,857","3,690","33,953","17,913","62,684","40,966","80,925","107,096","64,763","137,070","60,779","109,534","64,550","128,322","74,729","151,033","89,011","165,776","100,757","159,121","123,987","159,900","151,467","171,813","177,720","196,245","205,885","238,049","167,695","176,064","163,128","111,330","184,985","92,342","182,075","74,517","93,081","51,708","11,233","17,584",6,"1,553",0,0,0,0
2023-10,2호선,0240,신촌,77,6,"8,016","3,240","14,787","15,607","37,589","37,452","54,400","85,815","41,191","98,371","40,997","74,381","48,227","65,853","59,540","69,910","64,549","76,729","66,946","66,455","75,255","63,691","90,312","67,786","103,582","87,072","100,237","114,734","70,813","78,105","73,643","47,684","76,616","44,382","73,562","37,688","35,215","24,769","5,674","6,404",2,293,0,0,0,0
2023-10,2호선,0241,이대,43,0,"3,833",889,"9,202","6,553","28,114","15,274","37,095","42,151","24,216","49,868","20,142","40,158","22,403","29,627","29,608","31,527","29,540","34,588","28,528","27,012","36,423","28,638","38,172","29,051","48,474","36,378","41,344","47,449","25,999","33,483","22,287","23,802","23,063","23,522","18,133","23,429","7,046","16,415",861,"4,118",1,113,0,0,0,0
2023-10,2호선,0242,아현,28,2,"5,276",714,"10,857","4,923","29,970","12,187","41,001","21,403","24,713","13,165","19,047","12,159","17,252","10,950","18,443","12,868","17,303","13,804","15,895","14,629","17,644","16,938","22,756","19,618","20,909","24,742","20,433","34,154","13,080","25,060","9,540","17,158","7,734","16,613","5,968","14,824","2,386","9,217",406,"2,317",1,71,0,0,0,0
2023-10,2호선,0243,충정로(경기대입구),44,1,"3,166","1,016","6,148","6,888","16,281","22,420","22,059","59,124","15,216","27,428","11,706","13,384","12,242","11,558","13,729","12,034","13,989","13,601","13,775","12,488","14,490","13,005","18,512","14,240","30,206","17,080","46,580","22,201","15,755","15,200","10,574","10,580","9,698","10,530","6,762","9,676","2,967","6,298",557,"1,755",2,77,0,0,0,0
2023-10,2호선,0244,용답,3,0,"2,393",456,"3,291","1,033","8,183","1,721","13,226","3,935","7,718","4,839","5,370","3,599","4,686","3,057","5,141","3,399","5,348","4,106","4,707","3,933","4,706","4,710","5,686","6,334","5,448","7,271","4,217","10,945","2,714","7,472","2,005","5,164","1,489","6,223","1,337","5,619",527,"3,521",95,895,0,2,0,0,0,0
2023-10,2호선,0245,신답,13,0,"1,166",201,"1,740",588,"5,982",922,"10,989","1,736","4,601","1,089","2,689","1,170","2,274","1,309","2,160","1,499","2,228","1,733","1,913","1,906","1,809","2,747","2,151","3,682","2,163","4,736","2,138","9,644","1,029","6,443",625,"3,454",486,"3,583",489,"2,772",144,"1,835",24,418,0,0,0,0,0,0
2023-10,2호선,0246,신설동,52,0,"1,256",293,"1,470","1,740","4,475","4,546","8,422","12,382","5,415","8,688","4,960","7,897","6,013","7,513","7,532","7,453","8,047","8,111","8,646","6,748","9,408","6,056","10,013","5,299","11,756","5,904","11,793","7,332","4,388","5,125","2,831","3,815","2,551","3,486","1,856","3,227",652,"2,167",101,630,1,133,0,0,0,0
2023-10,2호선,0247,도림천,3,0,429,349,"1,101",803,"3,151","3,210","3,434","5,285","2,131","2,127","1,697","1,576","1,870","1,500","2,280","1,672","1,628","1,621","2,160","2,003","2,340","1,801","2,584","2,164","2,747","2,421","3,490","3,158","1,514","2,521","1,031","1,713",823,"1,511",550,"1,227",231,861,53,222,0,4,0,0,0,0
2023-10,2호선,0248,양천구청,21,2,"4,926",994,"11,739","2,525","32,698","4,831","29,357","9,405","18,679","5,149","13,231","4,705","11,759","5,337","11,793","6,781","10,781","8,266","7,996","9,264","7,704","12,037","9,090","14,848","8,976","20,779","8,635","29,580","3,965","24,938","2,983","14,663","2,572","13,173","2,428","10,963",781,"8,117",137,"2,233",1,63,0,0,0,0
2023-10,2호선,0249,신정네거리,41,1,"9,305","1,074","17,904","2,937","48,481","4,677","44,785","11,508","25,606","8,495","18,693","7,527","17,091","8,925","17,137","10,464","15,409","12,164","12,960","13,658","12,296","18,045","13,484","23,856","12,843","30,911","11,885","48,170","7,190","35,695","5,466","21,020","4,547","18,993","3,548","16,583","1,553","10,547",237,"2,640",2,186,0,0,0,0
2023-10,2호선,0250,용두(동대문구청),41,0,"1,208",119,"1,964",972,"5,433","2,660","8,972","5,103","5,080","3,572","3,984","3,439","3,983","3,558","4,350","3,365","4,449","4,359","4,299","4,344","4,492","4,724","5,266","4,416","5,005","5,021","5,248","8,285","2,678","5,532","1,663","3,345","1,390","3,287",827,"2,389",294,"1,593",64,458,0,3,0,0,0,0
2023-10,3호선,0309,지축,5,0,"3,302",921,"10,852","6,020","29,569","5,385","29,798","10,017","16,505","6,716","11,654","5,826","10,142","5,936","10,741","7,404","10,040","8,019","9,014","8,421","10,491","10,958","12,351","13,704","11,979","18,766","10,092","27,597","6,372","22,399","5,144","14,736","4,117","13,038","3,593","11,048","1,400","6,148",210,997,0,0,0,0,0,0
2023-10,3호선,0310,구파발,127,4,"12,272","1,451","32,959","10,661","83,033","22,909","80,994","33,353","48,594","33,785","34,356","32,374","33,351","27,957","34,181","28,671","32,020","30,349","33,635","31,629","37,445","32,300","42,670","38,505","42,566","48,786","33,022","73,321","21,167","63,260","17,252","36,619","14,208","32,833","11,151","28,925","3,183","20,360",519,"7,651",1,448,1,0,0,0
